"","Y.A.0H","Y.B.0H","Y.C.0H","Y.D.0H","Y.E.0H","Y.CN.A.24H","Y.CN.B.24H","Y.CN.C.24H","Y.CN.D.24H","Y.CN.E.24H","OFP.A.24H","OFP.B.24H","OFP.C.24H","OFP.D.24H","OFP.E.24H","IQ.A.24H","IQ.B.24H","IQ.C.24H","IQ.D.24H","IQ.E.24H","PM.A.24H","PM.B.24H","PM.C.24H","PM.D.24H","PM.E.24H","EM.A.24H","EM.B.24H","EM.C.24H","EM.D.24H","EM.E.24H"
"Actinobacteriota","0.13605880","0.11203305","0.25799475","0.32699504","0.10297352","0.12125701","0.38066943","0.28982379","0.44166907","0.36082560","0.16531043","0.52473163","0.68365560","0.60900124","0.03321854","0.11111640","0.34524270","0.65065297","0.70418280","0.05201289","0.44190304","0.25702568","0.77956685","0.59756522","0.01709789","0.39570274","0.32934866","0.88296166","0.52916673","0.01134512"
"Bacteroidota","0.026103060","0.036981852","0.190345992","0.078192451","0.100199905","0.164083988","0.135267069","0.215726214","0.131957595","0.015467383","0.052848398","0.046521204","0.112987948","0.115313562","0.397908255","0.054534466","0.112665446","0.107401811","0.084113384","0.334965321","0.007434604","0.004691372","0.027745216","0.013647412","0.159982370","0.002980790","0.004517555","0.021733795","0.015628034","0.082866400"
"Desulfobacterota","4.206075e-03","1.743072e-03","1.634842e-03","5.633118e-03","2.502632e-03","2.368301e-03","2.311605e-03","2.440333e-03","1.886853e-03","3.254178e-04","5.897685e-04","7.428290e-04","2.860691e-04","1.061452e-03","1.482404e-04","6.043299e-04","4.957518e-04","1.991130e-04","8.681824e-04","6.796605e-05","1.781108e-04","8.612759e-05","1.361352e-04","7.568221e-04","0.000000e+00","3.005919e-04","1.400137e-04","2.035831e-04","1.221753e-03","1.604463e-04"
"Euryarchaeota","1.272123e-02","8.766050e-03","8.425054e-03","2.034814e-03","1.695707e-03","4.543671e-04","5.328533e-04","0.000000e+00","5.066759e-04","0.000000e+00","9.912648e-04","1.210542e-03","1.161104e-04","1.906914e-03","1.319071e-04","1.510057e-04","4.898028e-04","0.000000e+00","2.035110e-03","0.000000e+00","1.353642e-04","1.636424e-04","5.218518e-05","2.638168e-03","1.441517e-04","2.570061e-03","1.140112e-04","0.000000e+00","1.229490e-03","8.347025e-05"
"Firmicutes","0.79562536","0.81453189","0.53764202","0.57578299","0.73491182","0.25014218","0.39848847","0.30065823","0.21157539","0.61617924","0.54862811","0.37468803","0.18343356","0.17793022","0.55854465","0.58347877","0.51659295","0.22110489","0.15387135","0.59885610","0.29522889","0.70495385","0.16479292","0.13996990","0.81804667","0.36195712","0.58428163","0.09044694","0.29104229","0.89956158"
"Others","1.003131e-03","5.494390e-03","7.050254e-04","7.440076e-03","0.000000e+00","2.769476e-04","1.600928e-03","7.584818e-05","1.634438e-04","0.000000e+00","7.930118e-05","4.247514e-05","0.000000e+00","9.764027e-05","1.127411e-04","0.000000e+00","4.521257e-04","8.742472e-05","1.332003e-04","0.000000e+00","0.000000e+00","4.091060e-05","0.000000e+00","3.912745e-05","0.000000e+00","0.000000e+00","8.867537e-05","0.000000e+00","1.298897e-04","0.000000e+00"
"Proteobacteria","0.0240648805","0.0006062006","0.0032523175","0.0039215171","0.0577164213","0.4614172090","0.0806263123","0.1912755834","0.2122409721","0.0072023654","0.2315527344","0.0519244152","0.0195207139","0.0946889723","0.0099356635","0.2500601688","0.0234452484","0.0205537950","0.0547959818","0.0140977210","0.2551199843","0.0328154774","0.0277066978","0.2453833500","0.0047289170","0.2364886942","0.0813437649","0.0046540150","0.1615818082","0.0059829819"
"Spirochaetota","2.174570e-04","1.984350e-02","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.033310e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.388833e-04","0.000000e+00","0.000000e+00","0.000000e+00","5.486128e-05","6.159750e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.229461e-04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.656838e-04","0.000000e+00","0.000000e+00","0.000000e+00"
"SampleType","Inoculum","Inoculum","Inoculum","Inoculum","Inoculum","NC","NC","NC","NC","NC","FrutaloseOFP","FrutaloseOFP","FrutaloseOFP","FrutaloseOFP","FrutaloseOFP","FrutafitIQ","FrutafitIQ","FrutafitIQ","FrutafitIQ","FrutafitIQ","MangabaPulp","MangabaPulp","MangabaPulp","MangabaPulp","MangabaPulp","MangabaExt","MangabaExt","MangabaExt","MangabaExt","MangabaExt"
"sample","Y.A.0H","Y.B.0H","Y.C.0H","Y.D.0H","Y.E.0H","Y.CN.A.24H","Y.CN.B.24H","Y.CN.C.24H","Y.CN.D.24H","Y.CN.E.24H","OFP.A.24H","OFP.B.24H","OFP.C.24H","OFP.D.24H","OFP.E.24H","IQ.A.24H","IQ.B.24H","IQ.C.24H","IQ.D.24H","IQ.E.24H","PM.A.24H","PM.B.24H","PM.C.24H","PM.D.24H","PM.E.24H","EM.A.24H","EM.B.24H","EM.C.24H","EM.D.24H","EM.E.24H"
