"","Y.A.0H","Y.B.0H","Y.C.0H","Y.D.0H","Y.E.0H","Y.CN.A.24H","Y.CN.B.24H","Y.CN.C.24H","Y.CN.D.24H","Y.CN.E.24H","OFP.A.24H","OFP.B.24H","OFP.C.24H","OFP.D.24H","OFP.E.24H","IQ.A.24H","IQ.B.24H","IQ.C.24H","IQ.D.24H","IQ.E.24H","PM.A.24H","PM.B.24H","PM.C.24H","PM.D.24H","PM.E.24H","EM.A.24H","EM.B.24H","EM.C.24H","EM.D.24H","EM.E.24H"
"Megasphaera","2.376494e-03","7.060648e-03","0.000000e+00","0.000000e+00","3.786636e-03","2.475580e-03","4.149021e-02","0.000000e+00","0.000000e+00","8.631578e-03","2.853427e-03","4.250338e-02","0.000000e+00","0.000000e+00","2.617366e-02","3.696044e-03","2.048966e-01","0.000000e+00","0.000000e+00","1.260703e-02","2.505441e-02","4.292691e-02","0.000000e+00","5.598235e-05","1.085309e-02","9.201452e-04","3.356161e-03","0.000000e+00","6.620333e-05","4.339077e-03"
"Mitsuokella","0.0047058749","0.0014121707","0.0000000000","0.0000000000","0.0043629263","0.0007268817","0.0122875529","0.0000000000","0.0000000000","0.0178402401","0.0007784802","0.0338578031","0.0000000000","0.0000000000","0.0226674576","0.0007378986","0.0165963526","0.0000000000","0.0000000000","0.0200276452","0.0331087240","0.2451066429","0.0000000000","0.0000000000","0.0530652821","0.0025804156","0.0125750566","0.0000000000","0.0000000000","0.0127026286"
"Others","0.51490082","0.49719123","0.47453826","0.35780028","0.57368979","0.11592959","0.16639958","0.20340184","0.15784718","0.15589253","0.06733071","0.05843540","0.11578676","0.11368438","0.09184724","0.04909836","0.03577137","0.15861484","0.09598364","0.11655669","0.03464276","0.02733541","0.06975566","0.05326883","0.05241958","0.11324035","0.01787452","0.04516232","0.06728389","0.04783879"
"Pediococcus","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.009524932","0.000000000","0.000000000","0.000000000","0.000000000","0.007674565","0.000000000","0.000000000","0.000000000","0.013123960","0.086380072","0.000000000","0.000000000","0.000000000","0.088463685","0.580764057"
"Prevotella_9","9.444635e-04","2.085794e-02","0.000000e+00","2.280064e-03","7.877032e-02","6.417615e-05","2.227748e-03","0.000000e+00","0.000000e+00","3.187532e-03","6.930453e-04","3.494750e-02","0.000000e+00","3.180756e-03","3.815059e-01","2.985988e-04","1.023349e-01","0.000000e+00","5.348976e-03","3.202122e-01","9.750814e-04","3.865705e-03","0.000000e+00","4.368679e-04","1.508503e-01","2.420020e-04","3.365585e-03","0.000000e+00","7.684315e-04","7.125035e-02"
"Slackia","0.0086439143","0.0029969400","0.0000000000","0.0208455363","0.0074126626","0.0205601128","0.1560549601","0.0000000000","0.1208422022","0.1715765307","0.0013382075","0.0003822763","0.0000000000","0.0049034943","0.0044848417","0.0010067045","0.0016954713","0.0000000000","0.0033033675","0.0086951231","0.0004737749","0.0009000333","0.0000000000","0.0020923402","0.0030271865","0.0002221040","0.0004940485","0.0000000000","0.0009528551","0.0014607295"
"Streptococcus","2.047189e-04","2.194412e-04","3.657872e-03","1.271404e-02","7.703153e-04","0.000000e+00","4.459023e-05","4.601668e-04","1.589987e-03","7.186120e-05","4.147551e-05","2.166899e-01","2.671996e-04","3.875379e-03","4.231330e-04","0.000000e+00","2.493607e-01","2.554155e-04","2.900072e-03","3.602106e-04","6.768212e-05","2.191028e-03","4.148612e-04","1.332216e-03","6.031453e-05","5.310317e-05","1.590114e-04","2.309019e-04","1.517572e-03","0.000000e+00"
"UCG_002","0.0787793188","0.0641560509","0.0092666515","0.0540180095","0.0125618680","0.0075047665","0.0616237890","0.0258428821","0.0299497902","0.0539310165","0.0019587867","0.0034908463","0.0013210164","0.0044043362","0.0007635342","0.0023208457","0.0014890367","0.0017928612","0.0044683061","0.0007474909","0.0020872032","0.0021067737","0.0006718451","0.0016523732","0.0003165008","0.0075427967","0.0015474573","0.0010364190","0.0036442981","0.0005997863"
"unclassified","0.156621484","0.189621002","0.047949925","0.095189944","0.092437936","0.011825229","0.075794547","0.057412731","0.024273682","0.051769772","0.005852381","0.015915974","0.007339321","0.015696841","0.009050822","0.006943420","0.019674661","0.007778007","0.013543773","0.009838782","0.017963955","0.027922706","0.003940575","0.010729354","0.004998393","0.091794902","0.020230166","0.003854639","0.016506429","0.006184411"
"SampleType","Inoculum","Inoculum","Inoculum","Inoculum","Inoculum","NC","NC","NC","NC","NC","FrutaloseOFP","FrutaloseOFP","FrutaloseOFP","FrutaloseOFP","FrutaloseOFP","FrutafitIQ","FrutafitIQ","FrutafitIQ","FrutafitIQ","FrutafitIQ","MangabaPulp","MangabaPulp","MangabaPulp","MangabaPulp","MangabaPulp","MangabaExt","MangabaExt","MangabaExt","MangabaExt","MangabaExt"
"sample","Y.A.0H","Y.B.0H","Y.C.0H","Y.D.0H","Y.E.0H","Y.CN.A.24H","Y.CN.B.24H","Y.CN.C.24H","Y.CN.D.24H","Y.CN.E.24H","OFP.A.24H","OFP.B.24H","OFP.C.24H","OFP.D.24H","OFP.E.24H","IQ.A.24H","IQ.B.24H","IQ.C.24H","IQ.D.24H","IQ.E.24H","PM.A.24H","PM.B.24H","PM.C.24H","PM.D.24H","PM.E.24H","EM.A.24H","EM.B.24H","EM.C.24H","EM.D.24H","EM.E.24H"
