rank,name,mean
species,Polaribacter sp. BM10,6
species,Neoasaia chiangmaiensis,4
species,Gluconobacter albidus,5
species,Clostridium felsineum,9.75
species,Acetobacter persici,4
species,Flavobacterium sp. KBS0721,6
species,Bartonella apihabitans,2
species,Bartonella choladocola,2
species,Cellvibrio sp. PSBB023,5
species,Anaerohalosphaera lusitana,1
species,Streptomyces sp. fd1-xmd,7
species,Micrococcus sp. KBS0714,2
species,Streptomyces niveus,6
species,Planococcus faecalis,9
species,'Halomonas sp. ''Soap Lake #7''',6
species,Komagataeibacter nataicola,5
species,Thiosocius teredinicola,1
species,Campylobacter pinnipediorum,3
species,Elizabethkingia meningoseptica,4
species,Elizabethkingia ursingii,5
species,Tessaracoccus sp. T2.5-30,2
species,Bartonella sp. A1379B,2
species,Bartonella sp. WD16.2,2
species,Bartonella sp. Raccoon60,3
species,Bartonella sp. JB15,2
species,Bartonella sp. JB63,2
species,Priestia flexa,11.67
species,Lysobacter enzymogenes,2
species,Elizabethkingia bruuniana,5
species,Pseudomonas sp. CC6-YY-74,6
species,Citrobacter werkmanii,8
species,Halolamina sp. CBA1230,2
species,Brucella pituitosa,5
species,Chryseobacterium indologenes,5.91
species,Herbaspirillum robiniae,3
species,Pseudomonas veronii,6
species,Streptomyces sp. 3211,7
species,Thiomonas intermedia,1
species,Martelella mediterranea,2
species,Halopseudomonas phragmitis,3
species,Comamonas kerstersii,6
species,Spirosoma aerolatum,3
species,[Actinomadura] parvosata,5
species,Spirosoma rigui,3
species,Alloalcanivorax xenomutans,2
species,Yersinia sp. FDAARGOS_228,7
species,Bacillus sp. FDAARGOS_235,14
species,Paracoccus yeei,3
species,Neisseria mucosa,4
species,'Streptococcus sp. ''group B''',7
species,Streptococcus sp. FDAARGOS_192,6
species,Rhodovulum sp. MB263,3
species,Frondihabitans sp. 762G35,2
species,Clostridium argentinense,10
species,Lactobacillus amylolyticus,5.5
species,Halomicronema hongdechloris,2
species,Shewanella japonica,8
species,Cognaticolwellia beringensis,6
species,Actinomyces gaoshouyii,3
species,Acinetobacter lactucae,6
species,Sporosarcina sp. P33,8
species,Colwellia sp. PAMC 21821,6
species,Ferroplasma acidiphilum,1
species,Rhodococcus sp. BH4,5
species,Rhodovulum sp. P5,3
species,Parasaccharibacter apium,1
species,Roseovarius mucosus,2
species,Sphingobium herbicidovorans,2
species,Streptomyces sp. Sge12,7
species,Sporosarcina ureae,8
species,Streptomyces violaceoruber,6
species,Streptomyces gilvosporeus,6
species,Pantoea stewartii,7
species,Halomonas sp. GT,6
species,Kitasatospora albolonga,6
species,Kitasatospora aureofaciens,9
species,Veillonella atypica,4
species,Thioclava electrotropha,3
species,Klebsiella sp. M5al,8
species,Streptomyces sp. MOE7,7
species,Streptomyces sp. S8,6
species,Cnuibacter physcomitrellae,2
species,Halobacillus mangrovi,7
species,Staphylococcus lutrae,6
species,Pantoea alhagi,7
species,Campylobacter cuniculorum,2
species,Magnetospirillum sp. ME-1,2
species,Paracoccus contaminans,2
species,Mycobacterium colombiense,1
species,Cellulosimicrobium sp. TH-20,3
species,Sporosarcina sp. P37,8
species,Halalkalibacter krulwichiae,15
species,Prosthecochloris sp. HL-130-GSB,2
species,Acidianus manzaensis,1
species,Marinobacter salarius,3
species,Piscinibacter gummiphilus,2.33
species,Sedimentisphaera salicampi,3
species,Nonlabens tegetincola,3
species,Oceanicoccus sagamiensis,2
species,Candidatus Nucleicultrix amoebiphila,2
species,Methylocystis bryophila,2
species,Ketogulonicigenium robustum,6
species,Rhizobium sp. NXC14,3
species,Rhizobium sp. TAL182,3
species,Vibrio syngnathi,14
species,Bordetella genomosp. 13,3
species,Bordetella genomosp. 8,3
species,Bordetella genomosp. 6,3
species,Bordetella genomosp. 9,3
species,Pseudorhodoplanes sinuspersici,1
species,Macrococcoides canis,5
species,Oxalobacter formigenes,1.83
species,Streptomyces marincola,5
species,Pseudomonas fragi,8
species,Campylobacter vicugnae,3
species,Campylobacter porcelli,3
species,Campylobacter devanensis,3
species,Campylobacter lanienae,3
species,Leptolyngbya boryana,3.25
species,Sphingomonas sp. KC8,2
species,Kushneria konosiri,4
species,Natrarchaeobaculum aegyptiacum,2
species,Corynebacterium striatum,4
species,Candidatus Nitrosomarinus catalina,1
species,Acidovorax carolinensis,4
species,Kushneria marisflavi,4
species,Agarilytica rhodophyticola,3
species,Vibrio aphrogenes,7
species,Mycobacterium dioxanotrophicus,3
species,Sutcliffiella horikoshii,8.86
species,Oceanisphaera avium,8
species,Oceanisphaera profunda,8
species,Comamonas serinivorans,4
species,Yoonia vestfoldensis,2
species,Sulfuriferula sp. AH1,3
species,Corynebacterium silvaticum,4
species,Cellvibrio sp. PSBB006,2
species,Sulfurospirillum diekertiae,2.75
species,Cellulosimicrobium cellulans,3
species,Oleiphilus messinensis,5
species,Spiroplasma clarkii,2
species,Tatumella citrea,7
species,Pseudomonas sp. M30-35,4
species,Acinetobacter sp. WCHA45,6
species,Acinetobacter sp. WCHAc010052,7
species,Acinetobacter sp. WCHA55,7
species,Acinetobacter chinensis,7
species,Acidovorax sp. T1,4
species,Streptomyces alboflavus,6
species,Stenotrophomonas sp. WZN-1,4
species,Paenibacillus donghaensis,9
species,Streptomyces albireticuli,7
species,Vibrio gazogenes,7.25
species,Sphingobacterium sp. G1-14,7
species,Thermococcus sp. 5-4,1
species,Enterococcus wangshanyuanii,4
species,Alkalitalea saponilacus,4
species,Bacillus sp. MD-5,12
species,Bacillus sonorensis,8
species,Achromobacter denitrificans,4
species,Cryobacterium sp. LW097,3
species,Enterobacter cloacae complex sp. ECNIH7,8
species,Pseudoalteromonas piscicida,9.14
species,Staphylococcus pettenkoferi,6
species,Brevundimonas vesicularis,2.2
species,Citrobacter braakii,8
species,Mammaliicoccus sciuri,5.98
species,Shewanella sp. FDAARGOS_354,9
species,Bdellovibrio sp. SKB1291214,1
species,Methylovulum psychrotolerans,1
species,Capnocytophaga endodontalis,4
species,Idiomarina piscisalsi,4
species,Francisella halioticida,3
species,Lactiplantibacillus pentosus,5
species,Candidatus Mancarchaeum acidiphilum,1
species,Vibrio mediterranei,10.5
species,Thermococcus celer,1
species,Thermococcus gorgonarius,1
species,Vibrio rotiferianus,13
species,Metamycoplasma hyosynoviae,1
species,Thermococcus barossii,1
species,Thermococcus pacificus,1
species,Thermococcus siculi,1
species,Thermococcus sp. P6,1
species,Thermococcus thioreducens,1
species,Thermococcus radiotolerans,1
species,Thermococcus profundus,1
species,Thermococcus chitonophagus,1
species,Anaplasma ovis,1
species,Diaphorobacter nitroreducens,3
species,Brachyspira hampsonii,1
species,Brevibacillus formosus,17
species,Granulosicoccus antarcticus,3
species,Shewanella marisflavi,8
species,Chryseobacterium sp. T16E-39,5
species,Neisseria chenwenguii,4
species,Vibrio tarriae,10
species,Virgibacillus phasianinus,7
species,Brachybacterium avium,3
species,Paraphotobacterium marinum,9
species,Shewanella bicestrii,9
species,Aquitalea magnusonii,8
species,Vibrio casei,8
species,Vibrio rumoiensis,8
species,Sphingorhabdus sp. SMR4y,2
species,Bosea sp. AS-1,2
species,Campylobacter sputorum,3
species,Pseudoalteromonas nigrifaciens,9
species,Pseudoalteromonas espejiana,8
species,Blautia hansenii,5
species,Bacteroides caccae,5
species,Pseudosulfitobacter pseudonitzschiae,2
species,Vitreoscilla filiformis,2
species,Arthrobacter sp. YN,6
species,Virgibacillus necropolis,7
species,Dehalobacterium formicoaceticum,5
species,Arenibacter algicola,3
species,Actinoalloteichus hoggarensis,3
species,Enterocloster bolteae,5
species,Neisseria sp. KEM232,1
species,Bacterioplanes sanyensis,4
species,Antarctobacter heliothermus,2
species,Spiroplasma corruscae,1
species,Labrenzia sp. VG12,3
species,Qipengyuania flava,1.75
species,Campylobacter avium,2
species,Legionella clemsonensis,4
species,Leptotrichia sp. oral taxon 498,5
species,Prosthecochloris sp. GSB1,2
species,Prauserella marina,3
species,Ligilactobacillus agilis,8
species,Paenibacillus kribbensis,10
species,Cellulomonas sp. PSBB021,2
species,Paenibacillus sp. RUD330,8
species,Aeribacillus pallidus,7
species,Geobacillus thermocatenulatus,10
species,Citrobacter farmeri,7
species,Sutcliffiella cohnii,15
species,Kocuria varians,3
species,Vibrio qinghaiensis,10
species,Herbaspirillum sp. meg3,3
species,Mucilaginibacter xinganensis,3
species,Parabacteroides sp. CT06,7
species,Sporomusa acidovorans,11
species,Sporomusa silvacetica,14
species,Nocardiopsis gilva,6
species,Actinopolyspora erythraea,5
species,Bradyrhizobium amphicarpaeae,1
species,Bradyrhizobium symbiodeficiens,1
species,Klebsiella quasivariicola,8
species,Bacillus sp. 1s-1,8
species,Tsuneonella mangrovi,1
species,Maribacter cobaltidurans,2
species,Cytobacillus kochii,9.67
species,Rhizobium sp. 11515TR,3
species,Enterococcus durans,6
species,Thermogutta terrifontis,1
species,Ochrobactrum quorumnocens,4
species,Paraburkholderia aromaticivorans,6.5
species,Bradyrhizobium ottawaense,1
species,Clostridium isatidis,9
species,Chryseobacterium piperi,5
species,Mycobacterium marseillense,1
species,Plantactinospora sp. KBS50,3
species,Candidatus Hamiltonella defensa,3
species,Rickettsia sp. MEAM1 (Bemisia tabaci),1
species,Aeromonas dhakensis,10
species,Corynebacterium glaucum,4
species,Candidatus Nanopelagicus limnes,1
species,Candidatus Planktophila lacus,1
species,Candidatus Planktophila dulcis,1
species,Candidatus Nanopelagicus hibericus,1
species,Candidatus Planktophila sulfonica,1
species,Streptomyces sp. CLI2509,6
species,Candidatus Planktophila versatilis,1
species,Candidatus Planktophila vernalis,1
species,Sphingobium xenophagum,3
species,Candidatus Nanopelagicus abundans,1
species,Candidatus Planktophila limnetica,1
species,Sinorhizobium sp. CCBAU 05631,3
species,Sinorhizobium sojae,3
species,Pectobacterium polaris,7
species,Enterococcus thailandicus,6
species,Mesoplasma chauliocola,2
species,Variovorax boronicumulans,2
species,Gibbsiella quercinecans,7
species,Brenneria goodwinii,7
species,Capnocytophaga sputigena,4
species,Capnocytophaga gingivalis,3
species,Capnocytophaga cynodegmi,3
species,Capnocytophaga sp. H4358,3
species,Capnocytophaga sp. H2931,3
species,Capnocytophaga leadbetteri,4
species,Capnocytophaga stomatis,3
species,Melittangium boletus,4
species,Cystobacter fuscus,4
species,Pseudomonas mosselii,7
species,Lactococcus raffinolactis,4
species,Nibricoccus aquaticus,1
species,Pseudoalteromonas tunicata,10
species,Pseudoalteromonas tetraodonis,8
species,Pseudoalteromonas agarivorans,8
species,Neisseria weixii,3
species,Luteimonas chenhongjianii,2
species,Janthinobacterium svalbardensis,8
species,Clostridium chauvoei,9
species,Desulfovibrio sp. G11,3
species,Actinosynnema pretiosum,5
species,Thauera sp. K11,4
species,Corynebacterium suranareeae,6
species,Streptococcus troglodytae,5
species,Rhizorhabdus dicambivorans,2
species,Variibacter gotjawalensis,1
species,Aneurinibacillus soli,17
species,Microcella alkaliphila,1
species,Sulfurifustis variabilis,1
species,Mucilaginibacter gotjawali,2
species,Metapseudomonas furukawaii,5
species,Aurantimicrobium minutum,1
species,Hafnia sp. CBA7124,8
species,Lactococcus formosensis,5
species,Filimonas lacunae,5
species,Halopenitus persicus,2
species,Halorubrum trapanicum,2
species,Sulfuricaulis limicola,1
species,Sphingobium cloacae,2
species,Streptococcus sp. NPS 308,4
species,Candidatus Desulfovibrio trichonymphae,2
species,Mycoplasmopsis bovigenitalium,2
species,Candidatus Nitrosoglobus terrae,2
species,Microbacterium sp. TPU 3598,2
species,Actinomyces sp. Chiba101,3
species,Labilibaculum antarcticum,6
species,Mycobacterium shigaense,1
species,[Mycobacterium] stephanolepidis,1
species,Thiohalobacter thiocyanaticus,1
species,Pseudomonas izuensis,7
species,Halorhodospira halochloris,2
species,Calothrix sp. NIES-3974,3
species,Ichthyobacterium seriolicida,1
species,Ureibacillus thermosphaericus,9
species,Acinetobacter guillouiae,7
species,Pseudoalteromonas atlantica,8
species,Weissella paramesenteroides,7.83
species,Enterococcus sp. FDAARGOS_375,5
species,Lelliottia amnigena,7
species,Providencia alcalifaciens,7
species,Brachybacterium ginsengisoli,3
species,Pseudoalteromonas marina,8
species,Brachybacterium vulturis,3
species,Rhodobacter sp. CZR27,4
species,Celeribacter ethanolicus,3
species,Zobellella denitrificans,8
species,Pseudoalteromonas sp. 1_2015MBL_MicDiv,9
species,Eubacterium maltosivorans,5
species,Mesoplasma lactucae,3
species,Methylomonas koyamae,3
species,Staphylococcus nepalensis,6.25
species,Bacillus glycinifermentans,6.6
species,Dermabacter jinjuensis,3
species,Cycloclasticus sp. PY97N,2
species,Acetobacter pomorum,5
species,Alteromonas pelagimontana,4
species,Rhodococcus sp. H-CA8f,5
species,Pacificitalea manganoxidans,2
species,Rhizobium acidisoli,3
species,Halomonas beimenensis,5
species,Acetobacter tropicalis,5
species,Streptomyces formicae,6
species,Chitinophaga caeni,4
species,Nocardia terpenica,3
species,Aeromonas sp. CU5,10
species,Faecalibacterium prausnitzii,6
species,Aeromonas sp. CA23,10
species,Yersinia frederiksenii,7
species,Pseudomonas sp. FDAARGOS_380,6
species,Streptomyces malaysiensis,6
species,Bacteroides sp. KFT8,5
species,Acinetobacter sp. LoGeW2-3,7
species,Candidatus Fonsibacter ubiquis,1
species,Priestia aryabhattai,13.94
species,Mycoplasmopsis bovirhinis,3
species,Dickeya dianthicola,7
species,Companilactobacillus farciminis,4
species,Actinoplanes sp. SE50,6
species,Faecalibacterium duncaniae,6
species,Solibacillus sp. R5-41,12
species,Collinsella aerofaciens,5
species,Pedobacter ginsengisoli,5
species,Microvirga ossetica,4
species,Paenibacillus sp. BIHB 4019,8
species,Paenibacillus ihbetae,9
species,Rhodococcus ruber,4.11
species,Caulobacter sp. FWC26,2
species,Caulobacter mirabilis,2
species,Mesoplasma entomophilum,2
species,Methylosinus trichosporium,3
species,Massilia violaceinigra,7
species,Pseudomonas sp. HLS-6,7
species,Roseomonas sp. FDAARGOS_362,5
species,Parathermosynechococcus lividus,1
species,Xanthomonas phaseoli,2
species,Bifidobacterium choerinum,4
species,Lactobacillus terrae,3
species,Fusobacterium pseudoperiodonticum,5
species,Phyllobacterium zundukense,3
species,Chryseobacterium camelliae,5
species,Candidatus Legionella polyplacis,1
species,Sphingorhabdus sp. YGSMI21,2
species,Candidatus Formimonas warabiya,4
species,Candidatus Nitrosotenuis aquarius,1
species,Enterobacter sp. CRENT-193,8
species,Halohasta litchfieldiae,2
species,Mariprofundus aestuarium,2
species,Mariprofundus ferrinatatus,1
species,Reinekea forsetii,5
species,Qipengyuania seohaensis,1
species,Amycolatopsis sp. AA4,4
species,Sphingomonas psychrotolerans,2
species,Streptomyces lavendulae,7
species,Williamsoniiplasma luminosum,1
species,Williamsoniiplasma somnilux,1
species,Mesoplasma tabanidae,2
species,Kyrpidia spormannii,5
species,Mesoplasma melaleucae,2
species,Streptomyces cavourensis,6
species,Entomoplasma freundtii,2
species,Mesoplasma coleopterae,2
species,Idiomarina sp. X4,4
species,Bartonella sp. 1-1C,2
species,Streptomyces sp. M56,6
species,Pseudomonas sp. SGAir0191,6
species,Achromobacter spanius,3.67
species,Acinetobacter bereziniae,7
species,Spiroplasma floricola,1
species,Nostoc flagelliforme,6
species,Spiribacter roseus,1
species,Methanobacterium subterraneum,2
species,Methanobacterium sp. MZ-A1,2
species,Candidatus Thiodictyon syntrophicum,2
species,Sagittula sp. P11,2
species,Spirosoma pollinicola,1
species,Bradyrhizobium sp. SK17,1
species,Alteromonas sp. MB-3u-76,5
species,Nonlabens sp. MB-3u-79,3
species,Olleya sp. Bg11-27,4
species,Lacinutrix sp. Bg11-31,2
species,Polaribacter sp. ALD11,6
species,Streptomyces sp. S063,6
species,Planococcus sp. MB-3u-03,9
species,Bacillus sp. HBCD-sjtu,13
species,Shewanella sp. Pdp11,10
species,Kangiella profundi,2
species,Providencia huaxiensis,6.86
species,Bacillus sp. SJ-10,9
species,Mesoplasma syrphidae,2
species,Microbacterium hominis,2.2
species,Thalassospira marina,6
species,Acetivibrio saccincola,3
species,Pseudomonas sp. S06B 330,6
species,Streptomyces sp. CMB-StM0423,5
species,Paracoccus tegillarcae,2
species,Paracoccus zhejiangensis,2
species,Dermabacter hominis,3
species,Globicatella sanguinis,4
species,Corynebacterium pyruviciproducens,4
species,Chromobacterium sp. ATCC 53434,8
species,Legionella sainthelensi,4
species,Gordonia sp. YC-JH1,4
species,Arthrobacter crystallopoietes,7.5
species,Amycolatopsis sp. BJA-103,4
species,Glaesserella sp. 15-184,6
species,Prevotella jejuni,4
species,Virgibacillus dokdonensis,6
species,Companilactobacillus alimentarius,4
species,Liquorilactobacillus hordei,6
species,Liquorilactobacillus nagelii,6
species,Pseudoalteromonas sp. NC201,9
species,Staphylococcus hominis,5.72
species,Coxiella-like endosymbiont of Amblyomma americanum,1
species,Bacillus siamensis,9
species,Enterococcus sp. CR-Ec1,5
species,Enterobacter cancerogenus,8
species,Bordetella trematum,4.25
species,Winkia neuii,3.75
species,Actinotignum timonense,2
species,Neisseria perflava,4
species,Enterobacter sp. Crenshaw,8
species,Ketobacter alkanivorans,3
species,Nocardioides houyundeii,3
species,Paracoccus jeotgali,2
species,Paraclostridium sordellii,17
species,Niveispirillum cyanobacteriorum,4
species,Tsukamurella tyrosinosolvens,2
species,Nosocomiicoccus massiliensis,4
species,Micrococcus lylae,2
species,Pseudoglutamicibacter albus,3
species,Aerococcus loyolae,4.33
species,Gleimia hominis,3
species,Gleimia europaea,3
species,Actinotignum urinale,3
species,Bacteriovorax stolpii,2
species,Paenibacillus sp. lzh-N1,15
species,Pseudazoarcus pumilus,3
species,Pseudomonas sp. NC02,5
species,Citrobacter freundii complex sp. CFNIH2,7
species,Flavivirga eckloniae,2
species,Vibrio jasicida,12
species,Aquella oligotrophica,4
species,Pseudotamlana carrageenivorans,3
species,Rhodococcus qingshengii,4.87
species,Actinoalloteichus sp. AHMU CJ021,3
species,Lysinibacillus sp. YS11,11
species,Clostridium thermosuccinogenes,4
species,Nostoc sp. CENA543,5
species,Escherichia marmotae,7
species,Aeromonas sp. ASNIH5,10
species,Achromobacter sp. AONIH1,3
species,Paraburkholderia terrae,6.75
species,Paraburkholderia hospita,7
species,Leclercia sp. LSNIH1,8
species,Citrobacter freundii complex sp. CFNIH3,8
species,Citrobacter freundii complex sp. CFNIH9,8
species,Aeromonas sp. ASNIH3,10
species,Aeromonas sp. ASNIH7,10
species,Pseudomonas avellanae,5
species,Candidatus Nitrosocaldus islandicus,1
species,Salinigranum rubrum,2
species,Vibrio hyugaensis,12
species,Streptomyces sp. SM17,7
species,Streptomyces sp. SM18,6
species,Pectobacterium versatile,6.89
species,Pseudomonas orientalis,6
species,Aeromonas sp. ASNIH1,10
species,Pseudomonas sp. PONIH3,7
species,Aeromonas sp. ASNIH4,10
species,Citrobacter freundii complex sp. CFNIH4,8
species,Citrobacter sp. CFNIH10,7
species,Acinetobacter sp. ACNIH1,7
species,Aeromonas sp. ASNIH2,10
species,Acinetobacter sp. ACNIH2,7
species,Serratia sp. SSNIH1,7
species,Leclercia sp. LSNIH3,8
species,Kitasatospora sp. MMS16-BH015,11
species,Streptomyces sp. WAC00288,6
species,Rhizobium sp. NXC24,3
species,Acinetobacter sp. SWBY1,7
species,Streptomyces dengpaensis,6
species,Pseudomonas sp. SWI44,7
species,Pseudomonas sp. SWI6,9
species,Pseudomonas sp. SWI36,7
species,Devosia sp. I507,2
species,'Nostoc sp. ''Peltigera membranacea cyanobiont'' N6',4
species,'Nostoc sp. ''Lobaria pulmonaria (5183) cyanobiont''',3
species,Pseudomonas sp. LH1G9,6
species,Pseudomonas sp. LG1D9,6
species,Pontimonas salivibrio,1
species,Rahnella sikkimica,8
species,Simonsiella muelleri,5
species,Vitreoscilla sp. C1,7
species,Desulfobulbus oralis,2
species,Porphyrobacter sp. HT-58-2,1
species,Enterobacter sp. SGAir0187,8
species,Halalkaliarchaeum desulfuricum,2
species,Pseudomonas sp. XWY-1,7
species,Sphingopyxis sp. MG,1
species,Mixta gaviniae,7
species,Mixta calida,7
species,Vibrio diabolicus,11.88
species,Deinococcus sp. NW-56,3
species,Acinetobacter indicus,7
species,Streptococcus pluranimalium,5.8
species,Arthrobacter sp. PGP41,4
species,Pukyongia salina,2
species,Shewanella sp. WE21,10
species,Pseudomonas sp. MYb193,6
species,Stenotrophomonas sp. MYb57,4
species,Serratia sp. MYb239,7
species,Idiomarina sp. OT37-5b,4
species,Lactobacillus sp. CBA3605,5
species,Lactobacillus sp. CBA3606,5
species,Acinetobacter sp. MYb10,7
species,Pediococcus inopinatus,4
species,Oligella urethralis,3
species,Gordonia iterans,4
species,'Microbacterium sp. str. ''China''',2
species,Fastidiosipila sanguinis,2
species,Bacteroides zoogleoformans,4
species,Bacteroides heparinolyticus,4
species,Haemophilus sp. oral taxon 036,6
species,Capnocytophaga sp. oral taxon 864,4
species,Mogibacterium diversum,2
species,Capnocytophaga sp. oral taxon 878,4
species,Dietzia sp. oral taxon 368,4
species,Actinomyces sp. oral taxon 897,3
species,Salinicola tamaricis,5
species,Mesoflavibacter sp. HG96,2
species,Mesoflavibacter sp. HG37,2
species,Phreatobacter cathodiphilus,2
species,Ottowia oryzae,2
species,Pukyongiella litopenaei,1
species,Melaminivora suipulveris,3
species,Simplicispira suum,3
species,Enterobacter cloacae complex sp. FDA-CDC-AR_0132,8
species,Gulosibacter molinativorax,3
species,Staphylococcus felis,5.75
species,Pulveribacter suum,3
species,Candidatus Phycorickettsia trachydisci,1
species,Aeromonas rivipollensis,10
species,Ahniella affigens,2
species,Synechocystis sp. IPPAS B-1465,2
species,Staphylococcus kloosii,7
species,Staphylococcus muscae,6
species,Fusobacterium mortiferum,8
species,Fusobacterium varium,7
species,Fusobacterium ulcerans,7
species,Fusobacterium gonidiaformans,6
species,Fusobacterium necrophorum,6
species,Microcystis sp. MC19,2
species,Fusobacterium periodonticum,5
species,Variovorax sp. PMC12,3
species,Plesiomonas shigelloides,12.2
species,Christiangramia fulva,3
species,Acinetobacter cumulans,7
species,Pseudoduganella armeniaca,7
species,Plantactinospora sp. BC1,1
species,Plantactinospora sp. BB1,1
species,Thauera aromatica,4
species,'Halomonas sp. ''Soap Lake #6''',6
species,Streptomyces sp. P3,6
species,Shewanella putrefaciens,8.14
species,Bacillus sp. ZY-1-1,9
species,Carboxydocella thermautotrophica,5
species,Yersinia massiliensis,7
species,Lysinibacillus parviboronicapiens,11
species,Dickeya sp. Secpp 1600,7
species,Lelliottia sp. WB101,8
species,Dietzia sp. JS16-p6b,2
species,Streptomyces lunaelactis,6
species,Flavobacterium magnum,3
species,Thermodesulfobium acidiphilum,2
species,Halococcoides cellulosivorans,1
species,Orrella marina,3
species,Paenibacillus sp. CAA11,13
species,Paragemmobacter aquarius,3
species,Colwellia sp. Arc7-D,6
species,Aminobacter sp. MSH1,2
species,Saccharobesus litoralis,7
species,Polynucleobacter difficilis,1
species,Corynebacterium yudongzhengii,4
species,Mycetocola zhujimingii,3
species,Salinibacterium hongtaonis,2
species,Aeromicrobium chenweiae,2
species,Corynebacterium liangguodongii,4
species,Agromyces badenianii,2
species,Methyloceanibacter sp. wino2,1
species,Pseudogemmobacter blasticus,2
species,Enterobacter cloacae complex sp. FDA-CDC-AR_0164,8
species,Candidatus Kinetoplastibacterium sorsogonicusi,3
species,Candidatus Fokinia solitaria,1
species,Dongshaea marina,10
species,Phytobacter sp. SCO41,7
species,Lysinibacillus sp. 2017,14
species,Actinobaculum sp. 313,2
species,Miniimonas sp. S16,2
species,Streptomyces nigra,6
species,Microbulbifer sp. A4B17,5
species,Flavobacterium faecale,5.5
species,Flavobacterium kingsejongi,6
species,Streptococcus chenjunshii,5
species,Dokdonia sp. Dokd-P16,3
species,Limnobaculum parvum,7
species,Flavobacterium album,3
species,Dietzia lutea,4
species,Dietzia psychralcaliphila,3
species,Clostridium drakei,10
species,Caldibacillus thermoamylovorans,8
species,Streptomyces tirandamycinicus,5
species,Flavobacterium pallidum,3
species,Helicobacter apodemus,3
species,Aquabacterium olei,4
species,Actinobacillus porcitonsillarum,6
species,Parazoarcus communis,4
species,Alloyangia pacifica,5
species,Actinomyces sp. Z16,3
species,Leptospira kobayashii,2
species,Azospirillum sp. TSH58,9
species,Streptomyces spongiicola,6
species,Flavobacterium crocinum,6
species,Candidatus Fukatsuia symbiotica,5
species,Rhodococcus oxybenzonivorans,4
species,Azospirillum thermophilum,7
species,Massilia oculi,7
species,Aquirufa nivalisilvae,3
species,Saliniradius amylolyticus,4
species,Flavobacterium sediminis,3
species,Bacillus inaquosorum,8.8
species,Gemmata obscuriglobus,5
species,Hymenobacter nivis,3
species,Phenylobacterium parvum,1
species,Lactobacillus apis,4
species,Lactobacillus kullabergensis,4
species,Pseudomonas sp. 31-12,6
species,Microvirga sp. 17 mud 1-3,3
species,Streptococcus sobrinus,6
species,Deinococcus irradiatisoli,3
species,Streptomyces sp. NEAU-S7GS2,7
species,Lactobacillus helsingborgensis,4
species,Methylobacterium durans,4
species,Methylobacterium radiodurans,6
species,Methylobacterium terrae,9
species,Methylobacterium sp. 17Sr1-1,11
species,Candidatus Cardinium hertigii,1
species,Salinisphaera sp. LB1,2
species,Paenibacillus sp. Cedars,8
species,Acidiferrobacter sp. SPIII_3,1
species,Auritidibacter sp. NML130574,2
species,Aurantimicrobium photophilum,1
species,Metallosphaera hakonensis,1
species,Acidianus sulfidivorans,1
species,Acidianus brierleyi,1
species,Citrobacter sp. CRE-46,8
species,Stutzerimonas frequens,4
species,Streptomyces actuosus,6
species,Psychrobacter sp. YP14,3
species,Corynebacterium provencense,6
species,Curtobacterium sp. MCJR17_043,4
species,Curtobacterium sp. MCPF17_050,4
species,Blattabacterium punctulatus,1
species,Blattabacterium sp. (Cryptocercus kyebangensis),1
species,Azospirillum ramasamyi,10
species,Burkholderia sp. JP2-270,6
species,Marilutibacter maris,2
species,Curtobacterium sp. MCPF17_052,4
species,Curtobacterium sp. MCPF17_002,3
species,Curtobacterium sp. MCSS17_007,4
species,Curtobacterium sp. MCSS17_005,3
species,Curtobacterium sp. MCSS17_016,3
species,Curtobacterium sp. MCSS17_015,3
species,Curtobacterium sp. MCLR17_054,3
species,Curtobacterium sp. MCJR17_020,4
species,Curtobacterium sp. MCLR17_036,3
species,Curtobacterium sp. MCPF17_021,3
species,Curtobacterium sp. MCLR17_007,3
species,Curtobacterium sp. MCLR17_058,3
species,Curtobacterium sp. MCLR17_031,3
species,Curtobacterium sp. MCLR17_032,4
species,Curtobacterium sp. MCBD17_040,2
species,Curtobacterium sp. MCBD17_035,2
species,Curtobacterium sp. MCBD17_003,2
species,Curtobacterium sp. MCBD17_026,3
species,Rhizobium tumorigenes,4
species,Methylobacterium sp. XJLW,4
species,Bradymonas sediminis,5
species,Peterkaempfera bronchialis,8
species,Arcticibacterium luteifluviistationis,2
species,Echinicola strongylocentroti,4
species,Streptomyces cadmiisoli,6
species,Polynucleobacter paneuropaeus,1
species,Klebsiella huaxiensis,8
species,Erythrobacter sp. KY5,1
species,Mergibacter septicus,6
species,Pseudoprevotella muciniphila,3
species,Methanosphaera sp. BMS,2
species,Streptomyces sp. ST1015,6
species,Paraliobacillus zengyii,9
species,Blattabacterium clevelandi,1
species,Paenibacillus sp. DCT19,11
species,Arthrobacter dokdonellae,5
species,Streptomyces bacillaris,6
species,Flagellimonas maritima,2
species,Metamycoplasma cloacale,1.5
species,[Mycoplasma] anseris,2
species,Mycoplasmopsis anatis,2
species,Paracoccus mutanolyticus,3
species,Paraburkholderia dokdonensis,4
species,Mucilaginibacter rubeus,3.14
species,Mucilaginibacter sp. P4,3
species,Aerococcus mictus,4
species,Aerococcus tenax,4
species,Moraxella bovis,4
species,Blautia argi,5
species,Roseovarius sp. TM1035,2
species,Pseudomonas sp. LG1E9,6
species,Kocuria sp. BT304,3
