rank,name,mean
species,[Mycoplasma] mobile,1
species,Wolbachia endosymbiont of Brugia malayi,1
species,Bacillus licheniformis,7.96
species,Idiomarina loihiensis,4
species,Legionella pneumophila,2.97
species,Thermotoga maritima,1
species,Deinococcus radiodurans,3
species,Mycobacterium tuberculosis,1
species,Treponema pallidum,2
species,Aquifex aeolicus,2
species,Methanothermobacter thermautotrophicus,2
species,Archaeoglobus fulgidus,1
species,Clostridium acetobutylicum,11
species,Neisseria meningitidis,4.02
species,Ligilactobacillus salivarius,7
species,Francisella tularensis,2.92
species,Staphylococcus aureus,5.75
species,Dehalococcoides mccartyi,1
species,Ralstonia pseudosolanacearum,4
species,Nitrosomonas europaea,1
species,Xanthomonas euvesicatoria,2
species,Haloquadratum walsbyi,2
species,Clostridioides difficile,11.3
species,Rhizobium johnstonii,3
species,Cupriavidus necator,5
species,Helicobacter acinonychis,2
species,Yersinia enterocolitica,7.11
species,Alcanivorax borkumensis,3
species,Staphylococcus carnosus,5.93
species,Lactococcus cremoris,6
species,Burkholderia cenocepacia,6
species,Streptococcus uberis,5.5
species,Mesorhizobium japonicum,2
species,Nostoc sp. PCC 7120 = FACHB-418,4
species,Synechocystis sp. PCC 6803,2
species,Vibrio vulnificus,10.5
species,Streptomyces avermitilis,6
species,Geobacillus kaustophilus,9
species,Nocardia farcinica,3
species,Shouchella clausii,7
species,Staphylococcus haemolyticus,5.83
species,Klebsiella pneumoniae,7.96
species,Symbiobacterium thermophilum,6
species,Bacteroides fragilis,6
species,Chlamydia felis,1
species,Thermococcus kodakarensis,1
species,Paramagnetospirillum magneticum,2
species,Limosilactobacillus reuteri,5.84
species,Xanthomonas oryzae,2
species,Desulfitobacterium hafniense,5.5
species,Synechococcus elongatus,2
species,Sodalis glossinidius,7
species,Rhodococcus erythropolis,4.67
species,Staphylococcus saprophyticus,5.74
species,Limosilactobacillus fermentum,4.94
species,Brevibacillus brevis,14.43
species,Finegoldia magna,4
species,Orientia tsutsugamushi,1
species,Clostridium kluyveri,7
species,Kocuria rhizophila,3
species,Gemmatimonas aurantiaca,1
species,Nitratiruptor sp. SB155-2,3
species,Sulfurovum sp. NBC37-1,3
species,Candidatus Carsonella ruddii,1
species,Candidatus Vesicomyosocius okutanii,1
species,Bifidobacterium adolescentis,4
species,Azorhizobium caulinodans,3
species,Burkholderia multivorans,5
species,Macrococcoides caseolyticum,4.88
species,Microcystis aeruginosa,2
species,Candidatus Azobacteroides pseudotrichonymphae,2
species,Solidesulfovibrio magneticus,3
species,Streptococcus dysgalactiae,5.85
species,Azospirillum sp. B510,9
species,Hydrogenobacter thermophilus,1
species,Rhodococcus opacus,4
species,Acetobacter pasteurianus,4.93
species,Deferribacter desulfuricans,2
species,Methanocella paludicola,2
species,Rothia mucilaginosa,3
species,Lacticaseibacillus rhamnosus,5
species,Pyrococcus horikoshii,1
species,Aeropyrum pernix,1
species,Halalkalibacterium halodurans,8
species,Thermoplasma volcanium,1
species,Sulfurisphaera tokodaii,1
