#OTU_num	Y.A.0H	Y.B.0H	Y.C.0H	Y.D.0H	Y.E.0H	Y.CN.A.24H	Y.CN.B.24H	Y.CN.C.24H	Y.CN.D.24H	Y.CN.E.24H	OFP.A.24H	OFP.B.24H	OFP.C.24H	OFP.D.24H	OFP.E.24H	IQ.A.24H	IQ.B.24H	IQ.C.24H	IQ.D.24H	IQ.E.24H	PM.A.24H	PM.B.24H	PM.C.24H	PM.D.24H	PM.E.24H	EM.A.24H	EM.B.24H	EM.C.24H	EM.D.24H	EM.E.24H	Taxonomy
ASV14	22.0	254.0	0.0	16.0	1713.0	0.0	38.0	0.0	0.0	124.0	14.0	326.0	0.0	22.0	11101.0	0.0	532.0	0.0	43.0	9400.0	31.0	26.0	0.0	11.0	3563.0	0.0	30.0	0.0	13.0	1790.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9
ASV15	65.0	54.0	0.0	0.0	123.0	15.0	743.0	0.0	0.0	728.0	22.0	2125.0	0.0	0.0	835.0	0.0	875.0	0.0	0.0	729.0	1544.0	11928.0	0.0	0.0	1815.0	122.0	676.0	0.0	0.0	446.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Mitsuokella
ASV16	0.0	4.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	468.0	8800.0	2.0	3.0	216.0	2096.0	10806.0	0.0	0.0	392.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV17	1108.0	366.0	2284.0	6113.0	351.0	228.0	45.0	310.0	473.0	7.0	147.0	257.0	1825.0	1399.0	0.0	144.0	100.0	1900.0	1238.0	0.0	178.0	9.0	435.0	914.0	0.0	526.0	0.0	588.0	1365.0	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__
ASV18	140.0	113.0	465.0	432.0	250.0	699.0	4665.0	3479.0	2078.0	7918.0	25.0	123.0	245.0	256.0	136.0	12.0	53.0	235.0	245.0	96.0	8.0	6.0	50.0	79.0	16.0	24.0	2.0	40.0	85.0	27.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea_formicigenerans
ASV19	23.0	0.0	0.0	0.0	0.0	1505.0	2345.0	0.0	0.0	8518.0	153.0	38.0	0.0	0.0	97.0	67.0	22.0	0.0	0.0	26.0	2191.0	517.0	0.0	0.0	174.0	26.0	642.0	0.0	0.0	164.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus
ASV20	0.0	0.0	1435.0	141.0	0.0	0.0	0.0	144.0	20.0	0.0	0.0	0.0	2086.0	1625.0	0.0	0.0	0.0	2294.0	2252.0	0.0	0.0	0.0	2643.0	1376.0	0.0	0.0	0.0	1284.0	597.0	0.0	k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum
ASV21	0.0	0.0	3257.0	407.0	0.0	475.0	647.0	2816.0	1189.0	111.0	59.0	71.0	1817.0	832.0	0.0	63.0	19.0	1878.0	586.0	0.0	6.0	0.0	573.0	96.0	2.0	0.0	0.0	476.0	120.0	0.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
ASV22	159.0	40.0	0.0	461.0	153.0	543.0	4393.0	0.0	3339.0	4605.0	27.0	12.0	0.0	162.0	102.0	20.0	45.0	0.0	112.0	202.0	14.0	22.0	0.0	69.0	63.0	7.0	13.0	0.0	31.0	35.0	k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia_isoflavoniconvertens
ASV23	4080.0	1437.0	0.0	0.0	4503.0	203.0	165.0	0.0	0.0	245.0	110.0	220.0	0.0	0.0	674.0	100.0	164.0	0.0	0.0	737.0	187.0	414.0	0.0	0.0	423.0	294.0	97.0	0.0	0.0	295.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister
ASV24	1530.0	846.0	1136.0	73.0	319.0	78.0	277.0	3175.0	232.0	96.0	126.0	439.0	1460.0	313.0	67.0	98.0	90.0	2238.0	248.0	56.0	46.0	39.0	246.0	94.0	30.0	480.0	39.0	200.0	167.0	25.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV25	19.0	131.0	0.0	0.0	1311.0	4.0	24.0	0.0	0.0	71.0	19.0	426.0	0.0	0.0	4210.0	14.0	826.0	0.0	0.0	3837.0	14.0	18.0	0.0	0.0	1487.0	18.0	18.0	0.0	0.0	1098.0	k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__
ASV26	1814.0	1091.0	2909.0	635.0	1026.0	68.0	79.0	192.0	54.0	66.0	133.0	115.0	1066.0	514.0	85.0	86.0	25.0	1073.0	450.0	91.0	155.0	62.0	271.0	172.0	70.0	345.0	63.0	256.0	354.0	82.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia
ASV27	254.0	1164.0	2382.0	152.0	1176.0	25.0	65.0	50.0	27.0	23.0	55.0	211.0	2309.0	230.0	138.0	59.0	67.0	2026.0	239.0	92.0	40.0	109.0	206.0	378.0	40.0	92.0	92.0	213.0	414.0	83.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia
ASV28	81.0	367.0	14.0	505.0	51.0	100.0	561.0	2616.0	597.0	1164.0	50.0	148.0	1018.0	671.0	321.0	43.0	44.0	1133.0	833.0	407.0	54.0	33.0	151.0	247.0	108.0	207.0	23.0	119.0	296.0	119.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea
ASV29	417.0	753.0	1017.0	0.0	845.0	43.0	565.0	3642.0	100.0	477.0	64.0	303.0	873.0	30.0	205.0	31.0	54.0	1541.0	35.0	171.0	31.0	20.0	280.0	0.0	38.0	206.0	40.0	247.0	0.0	51.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV30	0.0	0.0	0.0	0.0	41.0	2260.0	2871.0	0.0	0.0	79.0	237.0	41.0	0.0	0.0	66.0	99.0	0.0	0.0	0.0	20.0	3548.0	637.0	0.0	0.0	174.0	28.0	778.0	0.0	0.0	170.0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus
ASV31	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1282.0	0.0	0.0	0.0	0.0	7546.0	0.0	0.0	0.0	0.0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
