#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,0.0,0.0,0.0015326639596672967,0.0008650415908734989,0.0,0.000548752577507265,0.0004530539853725149,0.002352392757536536,0.0007133325302364179,0.0,0.00017239387666213087,0.0,0.00028606907925111323,0.00024565725573379523,0.0,0.00023343872548225918,0.0,0.00016851432381847914,0.00022227628153372608,0.0,0.0,0.0,0.00013613523958343055,0.00014063198443899498,0.0,0.0,0.0,0.00020358307376684676,0.0001960057271018246,0.0
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,0.004206075459007511,0.001656203684981243,0.0,0.003903034546381385,0.0016319587404250296,0.0017536977108547965,0.0017761775562899736,0.0,0.0010476381394145535,0.0003254177918100805,0.00041737464876094837,0.0006874266421333028,0.0,0.0005894388852334392,4.628319562753777e-05,0.0003708911329208263,0.0004957518361715452,3.059865353546069e-05,0.0005433170241942799,6.796604817473825e-05,0.00017811084781613507,8.612758911355716e-05,0.0,0.0005107161540152975,0.0,0.0003005918999396283,0.00014001374604271358,0.0,0.0009544728648702488,8.786342605695268e-05
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella,0.0,8.686782612738058e-05,0.0,0.0,0.0008706736395927015,0.0,8.23734518859118e-05,0.0,0.0,0.0,0.0,5.540235928115695e-05,0.0,0.0,0.00010195718457080787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.258283022096091e-05
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__unclassified,0.0,0.0,0.00010217759731115313,0.0008650415908734989,0.0,6.585030930087181e-05,0.0,8.793991616959016e-05,0.0001258822112181914,0.0,0.0,0.0,0.0,0.0001052816810287694,0.0,0.0,0.0,0.0,0.00010258905301556589,0.0,0.0,0.0,0.0,0.00010547398832924621,0.0,0.0,0.0,0.0,7.127480985520894e-05,0.0
k__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__unclassified;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012107393318308481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Asteroleplasma,0.0,0.0019932142527090174,0.0,0.0,0.0,0.0,2.5313694388930738e-05,0.0,0.0,0.0,0.0,0.00010593562760411246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003886993332915882,0.0,0.0,0.0,0.0,0.00018054029011276267,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium,0.09353065576252256,0.06706485736454204,0.0,0.04363042601725901,0.10205465316294732,0.0070258621673513506,0.014359408777295385,0.0,0.0013672206829531343,0.011739949027498978,0.011333460774896253,0.0013238085959347559,0.0,0.009174713603429314,0.0020616592363422105,0.00984333292450193,0.0007702881863358764,0.0,0.010264034754207367,0.0030227270610453964,0.011370596524582062,0.005072914998788517,1.1596705594144084e-05,0.0016037905892063715,0.026961714006623574,0.01141544127659618,0.0007347388006622398,0.0,0.005034080424398528,0.003719063572932903
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Coprobacillus,0.0,0.0,0.0,0.0004725880425199637,0.0,0.0,0.0,0.0,0.00021491173233509518,0.0,0.0,0.0,0.0,0.00442883271026011,0.0,0.0,0.0,0.0,0.002865365860206141,0.0,0.0,0.0,0.0,0.000108041941726811,0.0,0.0,0.0,0.0,0.0001533212581356855,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,2.58262425779704e-05,0.0,1.6746447065248376e-05,0.000182590834609986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.053464434520712e-05,0.0,0.00010784495236022994,0.0,0.0,0.0,0.0,2.8023137997126075e-05,0.0,0.0,0.0,0.0,0.0,2.2826878583251776e-05,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003,0.0001033049703118816,0.0,0.0036674719072893945,0.00010740637329999176,0.0,1.798761417957306e-05,0.0,0.0004053643701107147,3.438587717361523e-05,0.0,0.0,0.0,0.0013582985169276172,5.032764443477397e-05,0.0,0.0,0.0,0.003479960881895149,9.107519849065974e-05,0.0,0.0,0.0,0.00028509715653062066,0.0,0.0,0.0,0.0,0.0001608734587833541,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__UCG-004,3.87393638669556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.411477036940546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32663121767704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_UCG-006,0.0004669321280814648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.152277433750388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0.0,0.0,0.0,0.0,1.3842507173248019e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalicoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.268352116898032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48994682651556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella,0.003218496454275811,0.018018412278323546,0.0,0.0,0.08032688019936178,0.0002322940358773085,0.008891784576273732,0.0,0.0,0.011053002741252071,0.00016723792482944446,0.0032442669898076265,0.0,0.0,0.002899798376357237,9.26415187400837e-05,0.002415497596855468,0.0,0.0,0.015171439649311974,4.152277433750388e-05,0.0005647169378227867,0.0,0.0,0.0020930006985643524,0.00040878039562342093,0.00036138517273951934,0.0,0.0,0.001229009885950013
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,0.0,0.0,0.0,0.0,0.0,9.465981962000322e-05,7.104710225159892e-05,0.00018962044424067874,0.0001447645429009201,0.0,0.0,0.0,0.0,0.00024214786636616963,0.0,0.0,0.0,5.8137441717375306e-05,0.00013272458733888838,0.0,5.076159162759849e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147452350011771e-05,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter,0.0,0.0,0.0,0.00036063501906187414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003156835681154052,0.0,0.0,0.0,0.0,0.0002080889917378618,0.0,0.0,0.0,0.0,4.650885221573357e-05,0.0,0.0,0.0,0.0,0.00013200051058307485,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium,0.00010872848125325537,0.0013486230006275835,0.0,0.0,0.0,0.0,0.0038839082564207416,0.0,0.0,0.0,0.0,0.0014653924029866014,0.0,0.0,0.0,0.0,0.000728424697948057,0.0,0.0,0.0,0.0,0.00019091615586838505,0.0,0.0,0.0,0.0,0.00012667910356245515,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter,0.00013352620504785749,0.0,2.4737734085858124e-05,0.0,2.5499355319141088e-05,2.6571177437193885e-05,0.0,1.996004676217671e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7811084781613505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group,0.0,0.0,3.2439820005228066e-05,0.0,0.0,0.0006852674058380601,0.0,8.14320926186964e-05,0.0,0.0,7.601723855883839e-05,0.0,0.0,1.8569621653847365e-05,0.0,0.0001544025312334728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__unclassified,0.0,0.0,0.0,0.0,0.0,3.484410538159628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__unidentified_Erysipelotrichaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783357107894948e-05,0.0,0.0,0.0,0.0,3.201544489180882e-05,0.0,0.0,0.0,0.0,4.6167502486565825e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__unclassified;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,2.3218007271764358e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9783322415536733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.974382992717914e-05,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0.0,0.0,0.0,0.0,0.01682957451063312,0.07253931440353932,0.001457045835649851,0.000894760716925163,0.002364575110904321,0.1804011505632205,0.0020868732438047424,0.00017344658758619916,0.0004003806585867508,0.0010876877844941376,0.16633222925179267,0.0020462959057700758,8.205547633184197e-05,0.0005803192911897717,0.0008136373170200054,0.14969717415222236,0.0007247268980104807,0.0,0.0001420649051914203,6.604088198473675e-05,0.05075396954832592,0.000483711103351126,0.0,3.642009875528242e-05,0.0,0.03949309512594408
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus,0.0,0.0,0.0,0.0,0.0,0.00013631014025280465,0.0,0.0,0.0,0.0,0.00029737943724217575,0.0,0.0,0.0,0.0,0.000684559062476725,0.0,0.0,0.0,0.0,0.015133722517241365,0.0,0.0,0.0,0.0,0.04904056650215056,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.028488488253596e-05,0.0,0.0,0.0,0.0,4.8239121187886085e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,0.0,0.0001289006452212744,0.0,0.0,0.0,3.257112072946347e-05,0.0002902999876947053,0.0,0.0,0.0,0.0,4.110497624085838e-05,0.0,0.0,0.0,0.0,0.00014584699180272554,0.0,0.0,9.257024482580838e-05,0.02547176640811394,0.1548444397826533,2.2445236633827258e-05,3.912744728343005e-05,0.004608722240927798,0.13158383485099168,0.17663153459301809,0.0,0.0,0.007036632228733157
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc,0.0,0.0,9.325733087922707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6075551980221325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5949320363138726e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus,3.435339060134451e-05,0.0,0.00034527311318887293,0.0017430035214641949,0.0007194604834121008,4.785330533712643e-05,6.734322488303217e-05,0.00022766435643430626,0.00020582636431410443,0.0005426485908716456,0.0,0.004760839388781251,0.016682843697559,0.00859758814625539,0.2537006422188279,0.0,0.0038331876571216597,0.013060259418974356,0.00454762847964736,0.3251983926299859,0.056562152650868044,0.18237210854076133,0.09000912204516477,0.04616111588750826,0.5370126682984125,0.0008922255622220668,0.3379270153135711,0.038216967466462276,0.09642662619789397,0.20635482095529067
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36080084573756e-05,0.0,0.0,0.0,0.0,9.340722714792237e-05,0.0007098667424715402,0.0,0.0,0.0,0.0003128066652873091,0.009650709200593369,0.0,0.0,0.0,0.0005584809088430174
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009524932014711066,0.0,0.0,0.0,0.0,0.0076745650086763725,0.0,0.0,0.0,0.013123960291475665,0.08638007163688845,0.0,0.0,0.0,0.08846368497210935,0.5807640565766565
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella,0.0,0.0,0.0,0.0,5.633578500740473e-05,0.0,0.0,0.0,0.0,1.99707301175437e-05,0.0,0.00036116218223254204,0.0,4.3994888511295354e-05,0.0001917254470036085,0.0,0.00012047922530215457,0.0,0.0,0.00033785448365930933,0.0,0.00014271141219397555,0.02980926430704043,0.0031910480626064826,0.006425368177954272,0.0,0.0006628557744547071,0.0031209589568534676,0.0016530213441165373,0.008371290084350651
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551459523583865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000563016890147315,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus,0.00010556163228471394,5.819300973581806e-05,0.0,0.0,0.0,7.3522189996119e-05,0.0,0.0,0.0,0.0001867554101865834,0.0,0.0,0.0,2.350950158894851e-05,3.4150707453328846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005877165359362341,0.0,0.0,4.928799222311057e-05,0.0,2.9224477302175648e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,0.00020471889775717538,0.0002194412134912386,0.0036578724794737493,0.01271403844478965,0.0007703152527372329,0.0,4.4590231538660415e-05,0.0004601667684501827,0.0015899871343720304,7.186120460706101e-05,4.1475514259717674e-05,0.2166898698867853,0.0002671996445380199,0.0038753790328476933,0.00042313298094631815,0.0,0.24936067782604754,0.0002554155389257074,0.0029000723407381465,0.0003602105761004259,6.768212217013133e-05,0.0021910282084118306,0.0004148612252298407,0.0013322159090749458,6.031453483398952e-05,5.310317153745176e-05,0.00015901142706584327,0.00023090190225498613,0.0015175719190405627,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__unclassified;g__unclassified,0.0,0.0,4.2642666619775605e-05,0.00010939858828862064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__unclassified;g__unclassified,0.001083731594190944,0.003183024511285146,0.01020674057846411,0.0,0.0005858185225279799,0.0001856074894509867,0.0005340141672505802,0.0009419054746595808,0.0,0.00013470453255754966,0.0,2.0821148095859638e-05,8.537528749276304e-05,0.0,0.0,6.579767997661717e-05,0.0,0.00023748954949908213,0.0,0.00011253637606274744,0.0,8.021687221360716e-05,0.0002558096822237666,0.0,0.0,8.295201305523512e-05,2.4839039914206892e-05,0.00018854244751866588,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella,0.00010872848125325537,0.0,0.0,0.00015826329105753787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__unclassified;f__unclassified;g__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013879258712992618,0.019385744118288396,0.0,0.0,0.0,0.07333994854245973,0.0064457308577366874,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella,0.0,0.0,0.0,0.00018087233263718613,0.0,0.0,0.0,0.0,0.0001447645429009201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group,0.03745696179174648,0.06930423753225082,0.06888098367536766,0.017635052432125646,0.03405948889977675,0.0029533863721441004,0.010586018235488241,0.006029930126853584,0.002605761772216562,0.006492084946611106,0.0007930118326458021,0.0017202432556799234,0.0013642970941343533,0.0018161089977462722,0.0021544827564618837,0.0010570397288243549,0.0018461798379028342,0.0021220166226841985,0.0013567402261308588,0.0010761290961000224,0.00101523183255197,0.0007363908869209137,0.0015916478427962755,0.0010310082359183818,0.0006246575324306849,0.001618186394674999,0.0009880970077871501,0.002157253499522266,0.0021208710607540614,0.0009599079296722081
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__unclassified,0.0017396557000520859,0.01588378200739154,0.0006697741503746087,0.0006782712473894479,0.0005329365261700487,0.0,0.0014919891472835775,7.58481776962715e-05,0.00018095567862615013,0.0,0.0,0.0006689834883199702,0.0,0.0,0.0,0.0,0.000527479953686524,0.0,0.0,0.00012913549153200268,6.768212217013133e-05,0.0003272848386315172,7.827776276047258e-05,0.0,0.0,0.00015864572496813715,0.0002660261174811558,0.0,0.0,8.347025475410504e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__unclassified;g__unclassified,0.008531804270590373,0.027352454797417502,0.00038793264816459335,0.015231354327341991,0.0027122041566722795,0.00045291779722489585,0.002702509391867041,0.0,0.0013506739648650441,0.0005916687123819647,0.00030828809283479144,0.000990747932121168,0.0,0.0019406587376236085,0.0003155672429150303,0.0003130899174006975,0.0007210935798858839,4.172543663926458e-05,0.0015664464853393525,4.119154434832622e-05,0.00017811084781613507,0.0004893613017815748,0.0,0.002611616696669135,9.196283142152151e-05,0.0008046146816565809,0.00030912125749690014,0.0,0.002397212280028514,0.00017972064420740324
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__unclassified;g__unclassified,0.001378614714455152,0.003190522250288542,0.0,0.0,0.0002549935531914109,0.0,0.0,0.0,0.0,0.0,0.0,0.00016766503466665922,0.0,0.0,4.207563238867071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002740423289976819,0.0,0.0,4.5981415710760756e-05,0.00019735831814218018,9.091801691085298e-05,3.600623399669967e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__unidentified_Clostridia_vadinBB60_group;g__unidentified_Clostridia_vadinBB60_group,0.0,0.00014339425843993447,0.0,0.0,0.0,0.0,3.399382882851624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,0.0010233268823835798,8.81452941586656e-05,0.0,3.1918646935974025e-05,0.0004331890480098792,0.03230461232396534,0.004346410961274287,2.6769945069272298e-05,0.0,7.274044758107681e-05,0.48384217536237767,0.0006970920382493807,0.0,0.0,3.1036966479642986e-05,0.5289699205432175,0.00041666483736582573,0.0,0.0,0.0,0.0036627971997953424,1.925204933126572e-05,0.0,0.0,3.39180560595847e-05,0.001022798320971049,0.0,0.0,0.0,4.9100149855355915e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis,0.00016309272187988306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium,0.00017897692387367137,0.0,0.0002321071346327429,0.0003163404994683296,0.0,6.232745324773874e-05,0.0,6.242648370063498e-05,0.00010425430044304945,0.00014135660823940397,0.00010198197436288605,0.0,0.0,0.0,0.0,0.00012428450662249908,0.0,2.3924873134722343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529815781897848e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae;g__Defluviitaleaceae_UCG-011,0.0,7.492350003486576e-05,0.0002820101685787826,0.0004408763108031412,0.0,0.0,0.0,2.8443066636101814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9068720858687653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850279830155241e-05,0.0,3.842157718757357e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2728483863151724e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter,0.025000302122831847,0.011468290405336786,0.034755403192596804,0.11080842005129479,0.007561238834933844,0.0035667820032817214,0.00133805375907178,0.010201579900148517,0.006907681438755571,0.0017907620558200654,0.0029143184849733223,0.0034553528111002903,0.0221093536177092,0.017018959207768955,8.793807169232178e-05,0.0028993089704896593,0.0015070855819614972,0.02301273734646106,0.014605603477826115,0.0,0.0024884460251218287,0.00014727817738418276,0.00471406082401957,0.011086370913287071,0.0,0.006728694014981924,0.0,0.006041982088196858,0.016782544915532136,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes,0.00010414605484028292,0.007664587934601209,0.0008238802817675164,6.92997443054353e-05,0.00035269223257509323,0.0,0.0,0.00031966664929463084,8.319801316144836e-05,3.9482362991005945e-05,5.696924085099153e-05,0.0001220550060791772,0.002491257431206449,0.0010901292834492311,0.00020215648664901562,5.7856580669094415e-05,7.217842825486099e-05,0.0023054502749993654,0.0010057461279830622,0.00011544679958161159,6.482961893690741e-05,6.269824494856652e-05,0.0006498153996718668,0.00029045758280324033,0.0,2.431352106791374e-05,0.0,0.0007592578921066515,0.0007772640902313735,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia,0.0550532351765425,0.076447032011932,0.09091236957797016,0.02344754269555898,0.05001406933257171,0.0017737470835322308,0.0023444299485545135,0.003834207296807317,0.0030262592470205628,0.0025359390371733127,0.004733188108539895,0.00539765328304334,0.040702165430300405,0.022425429818502797,0.006434571932358838,0.0037567473463560154,0.0015791626317584592,0.03839801542830811,0.020910635196432218,0.005160569855896633,0.002866592719023566,0.0027320784942301284,0.005360328369923701,0.011788335248109958,0.0024938895880288695,0.006438367707650275,0.002196362741275492,0.004823574191494823,0.012585571893887643,0.003149065197745939
