#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae,0.00016309272187988306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae,0.00017897692387367137,0.0,0.0002321071346327429,0.0003163404994683296,0.0,6.232745324773874e-05,0.0,6.242648370063498e-05,0.00010425430044304945,0.00014135660823940397,0.00010198197436288605,0.0,0.0,0.0,0.0,0.00012428450662249908,0.0,2.3924873134722343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529815781897848e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Defluviitaleaceae,0.0,7.492350003486576e-05,0.0002820101685787826,0.0004408763108031412,0.0,0.0,0.0,2.8443066636101814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9068720858687653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850279830155241e-05,0.0,3.842157718757357e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,0.21326119373842864,0.23811445186685315,0.22040875824210232,0.2199357963376656,0.18328421703150072,0.022967471144582186,0.09382716814747022,0.12601963999551796,0.08452540425234993,0.1279593354021473,0.01798811116128038,0.03208378886960802,0.11403735730582264,0.092265112855898,0.03856759633751288,0.015160511644383631,0.009528151564171371,0.11410080845972478,0.0838040935675419,0.0354346899267807,0.009780958854893653,0.00643899346529475,0.020278543056639488,0.03762201835618652,0.010498282265567191,0.028810692139562426,0.005565980111140597,0.02231555437237489,0.04985278656610222,0.013390912219566096
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__unclassified,0.0,0.00020812083343018262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,0.004784053175143236,0.008091738003765501,0.01494653893467548,0.0013565424947788959,0.0005813853012764168,0.0,0.0003552355112579947,0.001365267198532887,0.0,0.0,0.0,0.0001911381395199915,0.0008708279324261829,0.0,0.0,0.0,0.00015070855819614972,0.001337161159499632,0.0,0.0,0.0,0.0,0.00041748140138918706,0.00030323771644658287,0.0,0.00025383315994901944,0.00022802238641241927,0.0004515181743186138,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,0.008227121748162989,0.003596328001673556,0.0015745567745648697,0.012841935617240214,0.0029069265063820845,0.000656308082698689,0.0007578357573503887,0.0013905499244316443,0.0022438504149642617,0.0015113848552957073,0.0004956323954036263,0.0003398011369244293,0.0005999036867824816,0.0066187083473419695,8.793807169232178e-05,0.00020134090072844855,0.00012559046516345812,0.0004263412392607522,0.0037162884454888744,0.00031566453485600655,0.00020304636651039397,0.00010909494621050574,0.00020874070069459353,0.0014353251911804923,0.00019220231767097995,0.0005076663198980389,0.00010134328284996411,0.00021739763948673996,0.001106541423002119,0.00011129367300547339
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae,0.0,0.0,0.0,4.327089297540338e-05,6.954369632493025e-05,0.0,0.0,0.0,3.4632665765770364e-05,8.217621005305063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Hungateiclostridiaceae,0.0,0.0,0.0,4.327089297540338e-05,0.0,0.0,0.0,0.0,3.4632665765770364e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,0.11717337644388875,0.11553356158448452,0.02363137860658533,0.09722599609556823,0.034085811212453306,0.010544811487597014,0.07709136865021313,0.04219174857906918,0.05199617772143684,0.060763834255647846,0.003987614889007857,0.006836908242051911,0.002931978866853821,0.010281818871122117,0.002431310200563845,0.004203242476484717,0.004061460276417796,0.002918063980369981,0.00934258643261576,0.0019931299782023097,0.0037298117983935244,0.004364287795783451,0.001659717726979867,0.004136259294715884,0.0016112769146070175,0.013297045017399246,0.00386136113038516,0.00206122202266009,0.009998506082648887,0.0017720351887518192
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,0.10238622061786762,0.11407331116169661,0.15107307781835785,0.08212309938465298,0.09619836561696266,0.00865139420643144,0.021006599837344368,0.10636560731338007,0.013497163716566205,0.016105271656763107,0.006716056102405932,0.013967345874423297,0.04112345791375103,0.02129998479783647,0.008850476033454319,0.0059499688182294555,0.006166744222278754,0.07539196681210607,0.020405914906819263,0.007637674365750124,0.0023314116276306027,0.0036577147381229884,0.015202028423258839,0.012362411667606826,0.0029537082010121386,0.017677328890828424,0.0037961181436822265,0.017702472945862722,0.020453368136974574,0.003489402777369694
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,0.0014046263128410983,0.0018282767951091645,0.0007252653856990224,8.654178595080677e-05,0.0001159061605415504,0.0,0.0002719506306281299,3.629099411304857e-05,0.0,0.0,0.0,0.0001829073105454464,0.0,2.8965055785426993e-05,0.0,0.0,0.00012619137648002969,5.5633915519019435e-05,5.64485219942109e-05,0.0,3.2383790512024565e-05,0.00043063794556778584,0.0,2.9017963296323724e-05,0.0,0.00012145127270288013,7.273441352868239e-05,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Clostridium]_methylpentosum_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4436491169572854e-05,0.0,0.0,0.0,0.0,0.0,8.689516735628097e-05,0.0,0.0,0.0,0.0,2.822426099710545e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.554422726358005e-05,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,0.048095445415614634,0.0382862670034625,0.01150304634992403,0.012137485479600649,0.0427693732398321,0.003786392784800129,0.0022605896170963297,0.0018326952027089528,0.0007446023139640628,0.0014463012969336913,0.002134302181163941,0.0025454600717574626,0.0013472138667518301,0.0015641130124130573,0.0015147227659921454,0.0019748748636043995,0.0008653122958630607,0.0018915531276466608,0.001284203875368298,0.0013799167356689282,0.0013601192015050315,0.0003327656852114709,0.0006616780584218575,0.001044646678667654,0.00034486061783070565,0.006983448180415607,0.0003091212574969002,0.0012002077998899889,0.0027060555799094882,0.0015176409955291827
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__unclassified,0.0002861275822454089,0.00168488253666923,0.00045539919567147923,0.0012764913427743998,0.0001159061605415504,0.00012681698322297084,0.00023795680179961365,0.0002358914617348157,0.00036364299054058886,0.00016435242010610126,4.742893735919869e-05,3.04845517575744e-05,9.722161925013207e-05,0.00015930780681984845,4.207563238867071e-05,0.0,0.0,4.172543663926458e-05,0.00012700917448697454,0.0,0.0,0.0,6.242245834168467e-05,7.25449082408093e-05,0.0,0.0,0.0,4.800831199559956e-05,0.0003235501236848301,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__unidentified_Oscillospirales,0.00023410438547351637,0.0,0.0,4.327089297540338e-05,0.0,0.0,0.00016996914414258118,0.0,0.002770613261261629,0.0,0.0,0.0,0.0,0.00015930780681984845,0.0,0.0,0.0,0.0,4.233639149565818e-05,0.0,0.0,0.0,0.0,2.9017963296323724e-05,0.0,0.0,0.0,0.0,2.941364760771183e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,0.000862256814580942,0.00023187156683904296,2.7273710694272985e-05,0.00031486479569336074,0.0002623918187578928,0.00014647554293230672,0.0,0.0,0.0,0.0,0.00015338720167230215,0.0,0.0,2.3418555741409057e-05,0.0,0.0,0.0,0.0,2.281961527425547e-05,3.330380181354035e-05,2.618263913738156e-05,9.49569164308077e-05,0.0,0.0,0.0,2.4548661503773643e-05,8.82098206624446e-05,0.0,2.3781247001979774e-05,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,0.003111150349640736,0.005341061302753566,0.0007749609190167619,0.0014547372598165103,0.006879596175626768,0.001218142450874036,0.005761958087565666,0.0009474921822406892,0.00023286521646260607,0.015129227621372523,0.0,0.0012871505365083967,0.0,0.0004382032434240335,0.0006894769186707642,0.00021591517504391267,0.0008157656273405531,0.0,6.325866539833822e-05,0.0003443613107520072,0.00014516272851502698,0.0007014029970001852,0.00018187862661057079,0.00019511273980477183,0.0003363540559242149,0.0006124660695820844,0.00027702987875574973,2.690009975088554e-05,0.00036258432091222246,0.0002921458916393677
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI,7.24856541688369e-05,0.0,0.0,0.0,9.689755021273613e-05,0.0,0.0001065706533773984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,0.0002446390828198246,0.0002650949910465988,9.840979841030435e-05,2.2609041579648267e-05,0.001182689549164684,0.0017483345060499656,9.32493217052236e-05,1.8962044424067875e-05,1.8095567862615013e-05,0.0003663963285565351,0.0001370704976299406,1.5928178293332623e-05,7.256899436884858e-06,1.5134241647885602e-05,0.0003606996510830719,7.491897374480426e-05,4.552654362175357e-05,1.8167950536679783e-05,1.1060382278240698e-05,0.00021701936771350452,0.0,2.5569128018087283e-05,0.0,0.0,0.00012813487844731995,0.00011369610289383163,5.85890853976355e-05,1.2542171508850383e-05,1.536863087502943e-05,0.00011824952756831549
k__Bacteria;p__Firmicutes;c__Clostridia;o__unclassified;f__unclassified,0.03209831240825769,0.01752994809428199,0.00522865743178365,0.0028775143828643247,0.00570258309864428,0.0022283555623464875,0.0018356667567398768,0.0016693857292002343,0.0009350819756757999,0.0005752334703713545,0.0012568668400187652,0.0012498666220605505,0.0004722192935006415,0.00120204981509522,0.000357642875303701,0.001541365747203434,0.00046871082692582453,0.0007093324228674978,0.0012700917448697454,0.000185361949567468,0.0009553218201047246,0.0004697868497103118,0.0003370812750450972,0.0012042454767974345,0.00043682344925222714,0.003127370272099163,0.0008546293589620181,0.0004200727299614961,0.0017648188564627096,0.00037941024888229574
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Gracilibacteraceae,0.0,0.0,8.433318438360725e-05,0.0,0.0,0.0,0.0,0.00012701847939566998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800831199559956e-05,0.0,0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae,0.000947145881139469,0.0,4.2301525286817394e-05,0.03603579773908205,0.0050881980256154554,0.07405174582326439,0.0848949718926828,0.005445899158592294,0.04180478299994349,0.14556966308587166,0.008769389182674827,0.0011185120757095798,5.8055195495078864e-05,0.011323103284466944,0.0050320118801717465,0.003955230138754411,0.0003683986978128105,0.0005116094871129027,0.008181078020562985,0.001310486099250694,0.08638494859647762,0.02098259465448727,0.0,0.011434083494812484,0.007854668048820714,0.0007614994798470583,0.023984576941158173,0.00010033737207080307,0.004685724791231195,0.006395676408714538
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae,0.004705874930332867,0.0029550979071343206,0.0,0.0,0.004362926344657229,0.0007268816864363249,0.014035832416895284,0.0,0.0,0.017840240081548563,0.0007784802022046484,0.03614834738682328,0.0,0.0,0.02266745757234891,0.0007378985890571412,0.02511809303269162,0.0,0.0,0.020027645167208792,0.03310872398654068,0.24627755723725028,0.0,0.0,0.053065282121377004,0.0025804156312443944,0.013278092425761005,0.0,0.0,0.01270262864669801
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae,0.09135130249821899,0.052044717352790495,0.0002679096601498435,0.00031486479569336074,0.0911947294445847,0.005550130604843694,0.046830557434889786,0.0026964027171024517,0.0009800307546483954,0.014086960894469857,0.005034209044742546,0.045688770271485976,0.0013352694963868139,0.00017643539895577582,0.03902500547473541,0.005709452684942434,0.20748300280447132,0.002866175876666602,3.42294229113832e-05,0.026022517146961747,0.02801613054451044,0.0539886580578813,0.002202214392327962,0.0003023263339332336,0.02463407513820416,0.004651492656065782,0.006868830423533088,0.001043508669536352,0.00037697666882199844,0.010092712699816053
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__unclassified,0.0,0.0001017636672799535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__unclassified;o__unclassified;f__unclassified,0.002174569625065107,0.002097858000976241,0.000846030505736348,0.002532212656920606,0.0004844877510636807,0.0,0.0,0.0,0.0,0.0,0.0,0.00025485085269332197,0.0,0.0,0.0,0.0,0.00015070855819614972,0.0,0.0,0.0,0.0,0.0,0.0,0.00012129508657863315,0.0,0.00012691657997450972,0.0,0.0,0.00012294904700023543,0.0002504107642623152
k__Bacteria;p__Firmicutes;c__unidentified_Firmicutes;o__Oscillospirales;f__Ruminococcaceae,0.01456961648793622,0.004495410002091945,0.01741412790973983,0.011123648457186946,0.020154690444249116,0.0008330064126560284,0.00014209420450319785,0.0007584817769627151,0.0010857340717569009,0.0030227697105914145,0.0020816560606952304,0.00025485085269332197,0.0003483311729704732,0.0005448326993238817,0.0011431949320001831,0.0004026818014568971,0.00015070855819614972,0.0009301990674780049,0.0007078644658074047,0.0009469936045680197,0.00013536424434026266,0.0,0.0002609258758682419,0.00036388525973589944,0.0,0.0014595406697068619,0.0,0.0005016868603540153,0.001106541423002119,0.0002504107642623152
k__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011274111755425868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38702275315595e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83889459291449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.784820071380628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.562931555967472e-05,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.837080752035319e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,6.56308739959288e-05,0.0,5.674248864764239e-05,9.098205867061678e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.988993121960775e-05,0.0,0.0,3.654142852608194e-05,0.0,0.0,0.0,0.0,3.560686447723364e-05,0.0,2.7236266466853653e-05,0.0,0.0,6.101362503955391e-05,0.0,0.0,0.0,2.0188606050463395e-05,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,0.0,0.0,0.0022393664602190565,0.00027899324257185627,5.890428584360859e-05,6.905275595380174e-05,6.478459171878322e-05,0.0007492601140209191,0.0006401818288745197,0.0002923374961887248,0.0,0.0,0.0005293786823259471,0.0006485703556992656,0.00036084011180739935,0.0,0.0,0.0007245091521010296,0.0002973211612472403,0.00031400727424195184,0.0,3.73045028835316e-05,0.00048378353884385273,0.0002767970866974808,0.00040894110142761686,8.67970531740568e-05,0.00010396157435216682,0.00032785007591523794,0.00026718304861528627,0.00015222538860931012
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__unclassified,0.0,0.0004086736365538132,0.0,0.0,0.0,0.0,0.00015070597447308862,0.0,0.0,0.0,0.0,7.722753111918848e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013460849391235878,0.00016122794998857926,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.660996527066284e-05,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,0.00011004907009438802,0.00012133360329532915,0.000956208567549516,0.003551541754211954,5.8844666121094815e-05,0.4604069672011622,0.08036664117043214,0.19052632328603908,0.21156429503505925,0.005854738903933499,0.23047909690712756,0.0518471876430746,0.018991335206487336,0.09400386047038901,0.0001780122908751453,0.24866008812636933,0.023445248375251228,0.019771437669066902,0.05446305378791451,0.0001568447265570883,0.2540545731580456,0.03277817285687108,0.027222914255565153,0.24504553928233985,0.0,0.23474428972208405,0.08097718081569247,0.004305976291297621,0.16131462512794045,8.448406351630066e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae,0.0,7.619338986596516e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2943092261061465e-05,0.0,0.0,0.0,0.0,0.0,2.576524140253325e-05,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae,0.02388920059535811,0.0,0.0,0.0,0.057598672347885016,0.0009411890636503178,2.0299172071885406e-05,0.0,0.0,0.0008440201139963042,0.0010337475675561347,0.0,0.0,0.0,0.009396811089408099,0.001366241826371615,0.0,0.0,0.0,0.013528480065257423,0.00101523183255197,0.0,0.0,0.0,0.004283365936667553,0.0015229989596941167,0.0,0.0,0.0,0.005687901645386874
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,2.388137890810048e-05,0.0,3.649526291619834e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.38388068451174e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013739862320870066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae,0.00021745696250651073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae,0.0,0.019843499191795507,0.0,0.0,0.0,0.0,0.0005033309696298562,0.0,0.0,0.0,0.0,0.00013888329847047521,0.0,0.0,0.0,5.48612808524383e-05,0.0006159750334992496,0.0,0.0,0.0,0.0,0.00022294607536206898,0.0,0.0,0.0,0.0,0.00016568384117160347,0.0,0.0,0.0
k__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae,0.0007176079762714854,0.000299694000139463,0.0,0.0,0.0,0.00027694758654538083,0.0009378217497211059,7.58481776962715e-05,0.0,0.0,7.93011832645802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__vadinBE97,0.0,0.0009490310004416328,0.0,3.0145388772864352e-05,0.0,0.0,4.7364734834399285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.091060482893965e-05,0.0,0.0,0.0,0.0,3.800373106873654e-05,0.0,3.073726175005886e-05,0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae,0.0,0.0004495410002091945,0.0007050254214469566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae,0.00017679427846057784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,0.00010872848125325537,0.002597348001208679,0.0,0.007409931046749238,0.0,0.0,0.0006157415528471907,0.0,0.00016344383875910334,0.0,0.0,4.247514211555366e-05,0.0,9.764026869603613e-05,0.0,0.0,0.0,0.0,0.0001332003027056944,0.0,0.0,0.0,0.0,3.912744728343005e-05,0.0,0.0,5.0671641424982054e-05,0.0,9.915245725825437e-05,0.0
k__Bacteria;p__unclassified;c__unclassified;o__unclassified;f__unclassified,0.0,0.000299694000139463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
