#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
ASV0,0.015291143299927788,0.028910410614160213,0.1991260845804072,0.22468434112580488,0.0031842657843761343,0.00045490231336821335,0.011322347390625835,0.040470229088823306,0.015729716233933898,0.004005436895660001,0.08353945321820838,0.5179866094317979,0.585352278535894,0.3696177546767707,0.007892674985812627,0.06975786330892006,0.3301209725293046,0.5494296391276334,0.42763684866032725,0.00249449006021772,0.4241731868584626,0.24450953006243295,0.6379683764956583,0.2615344940999362,0.0008829081730469042,0.3864452896255654,0.3238508757786751,0.8215609843196637,0.3166481021417724,0.0025070571215897275
ASV1,0.00011004907009438802,0.0,0.0008848497192249252,0.002984027350188394,5.8844666121094815e-05,0.4604069672011622,0.07086013619304209,0.1878393939142076,0.1945823005793744,0.0028091621344289,0.23047909690712756,0.050273715779279804,0.018768045993044723,0.08640610352975009,0.0001780122908751453,0.24866008812636933,0.021965619818062308,0.019641981827186107,0.04973440452239946,0.0001568447265570883,0.25393126564801904,0.029979026210680472,0.02668416042280077,0.2239539442679581,0.0,0.23474428972208405,0.07193013876370175,0.004234887060073368,0.14607043660817443,8.448406351630066e-05
ASV2,0.0,0.0,0.00023389468957955907,0.0010858054723875312,0.0007194604834121008,0.0,0.0,0.00022766435643430626,0.00020582636431410443,0.0005426485908716456,0.0,0.0,0.013628755214168594,0.004638298388135555,0.16997192846059353,0.0,0.0,0.010552910036850587,0.002711803048314307,0.22028515601304344,0.0,0.0,0.07340549759023146,0.02483387554595712,0.36872177640403553,0.0,0.0,0.030846212646095224,0.04954866017339661,0.13967092233103962
ASV3,0.0,0.0,0.0,0.0,0.0,0.029542772880934653,0.004296260065567276,2.6769945069272298e-05,0.0,2.424681586035894e-05,0.4488330353388086,0.0006970920382493807,0.0,0.0,0.0,0.48873727114471516,0.00041666483736582573,0.0,0.0,0.0,0.0032805922745993065,1.925204933126572e-05,0.0,0.0,0.0,0.0009033474221715103,0.0,0.0,0.0,0.0
ASV4,0.05569797666333428,0.027252174412681837,0.005057382356512836,0.018569559484084442,0.04304835164117824,0.04036799560968245,0.10535811616563778,0.20511369867143717,0.2625256730660553,0.08623137592578053,0.04456726499469407,0.000985423297080845,0.0009288831279212618,0.03945395902659457,0.003423722257887728,0.01804014470526899,0.0026524706242522355,0.00578273753615493,0.02762244448795117,0.0068413113736065425,0.014366658465979877,0.00266191668753634,0.005886487759587537,0.01580070661164328,0.003562149620835495,0.006210451313419342,0.0009323582022196699,0.01011400710473695,0.003950762710274232,0.002025544848699616
ASV5,0.0,0.0,0.013926120515507021,0.04719937019525157,0.0,0.0,0.0,0.0013132723346704251,0.0031459432467867794,0.0,0.0,0.0,0.050793167507355214,0.1553639534821104,0.002610175979560081,0.0,0.0,0.04420910762395464,0.1915569623312735,0.0013385068615802398,0.0,0.0035272747626364934,0.07473728444480456,0.28517203482365217,0.00210539641265031,0.0,0.001799469951664557,0.02403842341484257,0.1919395369777527,0.0020941300662690667
ASV6,3.435339060134451e-05,0.0,0.0,0.0,0.0,0.0,6.734322488303217e-05,0.0,0.0,0.0,0.0,0.004760839388781251,0.0,0.0,0.0,0.0,0.0038331876571216597,0.0,0.0,0.0,0.056562152650868044,0.1820748118863962,0.0,0.0,0.0,0.0008922255622220668,0.337674857856243,0.0,0.0,0.0
ASV7,0.0,0.0,0.0,0.0,0.014561011175344016,0.07253931440353932,0.001457045835649851,0.000894760716925163,0.002364575110904321,0.1611753178057054,0.0020868732438047424,0.00017344658758619916,0.0004003806585867508,0.0010876877844941376,0.15003735244637334,0.0020462959057700758,0.0,0.0005803192911897717,0.0008136373170200054,0.13524462367828377,0.0007247268980104807,0.0,0.0001420649051914203,6.604088198473675e-05,0.04634133920615188,0.000483711103351126,0.0,3.642009875528242e-05,0.0,0.03682689461111241
ASV8,0.001797164979392651,0.0,0.04275309115592599,0.014742589922597093,0.00016016124002105148,0.047470726070593355,0.023677474366080385,0.09012455990315235,0.029207143831146382,0.0014619894824892737,0.028324776976992358,0.004383539976594846,0.05709560548689574,0.04271358283266887,0.00010901413846155594,0.029930739271512137,0.003035967856224091,0.050065466338433944,0.02865339805635689,0.000231234351228104,0.00339809001804585,8.45260430349993e-05,0.011364292279550702,0.003709023308602832,0.0,0.0,9.422412661670217e-05,0.009204502727156316,0.0025656722617817727,0.0
ASV9,0.0,0.0,0.0,0.0006571980490766636,0.0,4.785330533712643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027925425347125406,0.08372871375823433,0.0,0.0,0.0,0.0012580529605581835,0.10491323661694246,0.0,0.0,0.0,0.015310390865138688,0.168290891894377,0.0,0.0,0.0,0.03391295988347726,0.06668389862425106
