#NAME,Y.A.0H,Y.B.0H,Y.C.0H,Y.D.0H,Y.E.0H,Y.CN.A.24H,Y.CN.B.24H,Y.CN.C.24H,Y.CN.D.24H,Y.CN.E.24H,OFP.A.24H,OFP.B.24H,OFP.C.24H,OFP.D.24H,OFP.E.24H,IQ.A.24H,IQ.B.24H,IQ.C.24H,IQ.D.24H,IQ.E.24H,PM.A.24H,PM.B.24H,PM.C.24H,PM.D.24H,PM.E.24H,EM.A.24H,EM.B.24H,EM.C.24H,EM.D.24H,EM.E.24H
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,0.004206075459007511,0.0017430715111086234,0.0016348415569784498,0.005633117728128383,0.002502632380017731,0.0023683005976629333,0.0023116049935484003,0.0024403326737061264,0.0018868528808691628,0.0003254177918100805,0.0005897685254230792,0.0007428290014144598,0.00028606907925111323,0.0009403778219960039,0.00014824038019834563,0.0006043298584030855,0.0004957518361715452,0.00019911297735393985,0.0008681823587435719,6.796604817473825e-05,0.00017811084781613507,8.612758911355716e-05,0.00013613523958343055,0.0007568221267835386,0.0,0.0003005918999396283,0.00014001374604271358,0.00020358307376684676,0.0012217534018272823,0.0001604462562779136
k__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012107393318308481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,0.09762620960793776,0.08842510689620219,0.003741395908445729,0.044753646286750826,0.1824208752248015,0.008117486325685085,0.027231462406630387,0.0007545427341741926,0.001761282835362765,0.02284563528992003,0.011576715938284536,0.006199938260678303,0.0013582985169276172,0.01433811996661985,0.0049614576126994474,0.010090376974475486,0.003914210481139401,0.003555931894691474,0.013589312529978043,0.018194166710357368,0.011546329520035687,0.006217247425771276,0.00032870930701657357,0.001758341383148916,0.02907754158377118,0.0118242216722196,0.001403343367076977,0.00020704096126991992,0.005380876716617407,0.004948073458882916
k__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,2.3218007271764358e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.9783322415536733e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,0.00034463392064323385,0.00040653486844833105,0.0041390455901616245,0.014566440554542466,0.018375686031789858,0.07282957115985483,0.001859279279766249,0.0015825918418096519,0.004160388609590456,0.18127790109423916,0.0024257281953066357,0.22202642302162615,0.01739649955266399,0.013628159353697464,0.43027042062919224,0.002730854968246801,0.2535422471766059,0.013895994249089836,0.008261338137405512,0.4834541743226181,0.09866991733887549,0.3395502879440204,0.12106575914007905,0.06391350847993352,0.6861169379927776,0.19175343838306938,0.5153804171081098,0.04170866134317921,0.18815064826308758,0.8425783758798181
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,0.001083731594190944,0.003183024511285146,0.01020674057846411,0.0,0.0005858185225279799,0.0001856074894509867,0.0005340141672505802,0.0009419054746595808,0.0,0.00013470453255754966,0.0,2.0821148095859638e-05,8.537528749276304e-05,0.0,0.0,6.579767997661717e-05,0.0,0.00023748954949908213,0.0,0.00011253637606274744,0.0,8.021687221360716e-05,0.0002558096822237666,0.0,0.0,8.295201305523512e-05,2.4839039914206892e-05,0.00018854244751866588,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales,0.00010872848125325537,0.0,0.0,0.00015826329105753787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013879258712992618,0.019385744118288396,0.0,0.0,0.0,0.07333994854245973,0.0064457308577366874,0.0,0.0,0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,0.03919661749179856,0.08518801953964236,0.06955075782574227,0.01849419601215228,0.0345924254259468,0.0029533863721441004,0.012078007382771818,0.006105778304549856,0.002931481993743632,0.006492084946611106,0.0007930118326458021,0.0023892267439998937,0.0013642970941343533,0.0018161089977462722,0.0021544827564618837,0.0010570397288243549,0.002373659791589358,0.0021220166226841985,0.0013567402261308588,0.001205264587632025,0.0010829139547221013,0.001063675725552431,0.001669925605556748,0.0010310082359183818,0.0006246575324306849,0.0017768321196431362,0.001254123125268306,0.002157253499522266,0.0021208710607540614,0.0010433781844263132
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,0.008531804270590373,0.027352454797417502,0.00038793264816459335,0.015231354327341991,0.0027122041566722795,0.00045291779722489585,0.002702509391867041,0.0,0.0013506739648650441,0.0005916687123819647,0.00030828809283479144,0.000990747932121168,0.0,0.0019406587376236085,0.0003155672429150303,0.0003130899174006975,0.0007210935798858839,4.172543663926458e-05,0.0015664464853393525,4.119154434832622e-05,0.00017811084781613507,0.0004893613017815748,0.0,0.002611616696669135,9.196283142152151e-05,0.0008046146816565809,0.00030912125749690014,0.0,0.002397212280028514,0.00017972064420740324
